id,nombre,slug,descripcion,parent_id,activo,created_at,updated_at
1,Ropa,ropa,"Prendas de vestir para hombre, mujer y unisex.",,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
2,Calzado,calzado,"Zapatos, zapatillas, botas, sandalias y otros tipos de calzado.",,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
3,Accesorios,accesorios,"Complementos de moda como bolsos, relojes, joyería, cinturones y gafas.",,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
4,Mochilas,mochilas,Categoría de accesorios importada desde el catálogo de origen (backpacks).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
5,Batas de baño,batas-de-bano,Categoría de ropa importada desde el catálogo de origen (bath-robe).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
6,Cinturones,cinturones,Categoría de accesorios importada desde el catálogo de origen (belts).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
7,Bodys,bodys,Categoría de ropa importada desde el catálogo de origen (bodysuit).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
8,Botas,botas,Categoría de calzado importada desde el catálogo de origen (boots).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
9,Bóxers,boxers,Categoría de ropa importada desde el catálogo de origen (boxers).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
10,Sostenes,sostenes,Categoría de ropa importada desde el catálogo de origen (bra).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
11,Pulseras,pulseras,Categoría de accesorios importada desde el catálogo de origen (bracelet).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
12,Calzoncillos,calzoncillos,Categoría de ropa importada desde el catálogo de origen (briefs).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
13,Camisolas,camisolas,Categoría de ropa importada desde el catálogo de origen (camisoles).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
14,Gorras,gorras,Categoría de accesorios importada desde el catálogo de origen (caps).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
15,Zapatos casuales,zapatos-casuales,Categoría de calzado importada desde el catálogo de origen (casual-shoes).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
16,Clutches,clutches,Categoría de accesorios importada desde el catálogo de origen (clutches).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
17,Conjuntos coordinados,conjuntos-coordinados,Categoría de ropa importada desde el catálogo de origen (co-ords).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
18,Vestidos,vestidos,Categoría de ropa importada desde el catálogo de origen (dresses).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
19,Bolsos deportivos,bolsos-deportivos,Categoría de accesorios importada desde el catálogo de origen (duffel-bag).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
20,Dupattas,dupattas,Categoría de ropa importada desde el catálogo de origen (dupatta).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
21,Aretes,aretes,Categoría de accesorios importada desde el catálogo de origen (earrings).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
22,Vestidos étnicos,vestidos-etnicos,Categoría de ropa importada desde el catálogo de origen (ethnic-dresses).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
23,Zapatos planos,zapatos-planos,Categoría de calzado importada desde el catálogo de origen (flats).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
24,Chancletas,chancletas,Categoría de calzado importada desde el catálogo de origen (flip-flops).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
25,Zapatos formales,zapatos-formales,Categoría de calzado importada desde el catálogo de origen (formal-shoes).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
26,Guantes,guantes,Categoría de accesorios importada desde el catálogo de origen (gloves).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
27,Accesorios para cabello,accesorios-para-cabello,Categoría de accesorios importada desde el catálogo de origen (hair-accessory).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
28,Bolsos de mano,bolsos-de-mano,Categoría de accesorios importada desde el catálogo de origen (handbags).,3,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
29,Tacones,tacones,Categoría de calzado importada desde el catálogo de origen (heels).,2,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
30,Chaquetas,chaquetas,Categoría de ropa importada desde el catálogo de origen (jackets).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
31,Jeans,jeans,Categoría de ropa importada desde el catálogo de origen (jeans).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
32,Jumpsuits,jumpsuits,Categoría de ropa importada desde el catálogo de origen (jumpsuit).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
33,Conjuntos kurta,conjuntos-kurta,Categoría de ropa importada desde el catálogo de origen (kurta-sets).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
34,Kurtas,kurtas,Categoría de ropa importada desde el catálogo de origen (kurtas).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
35,Kurtis,kurtis,Categoría de ropa importada desde el catálogo de origen (kurtis).,1,true,2026-09-12T13:13:00-04:00,2026-09-12T13:13:00-04:00
